EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR207,AOI01,optimal,dataOptimal/,2017-06-20T00:00:00.000,2017-07-03T10:00:00Z,2017-07-05T10:00:00Z
EMSR209,AOI01,optimal,dataOptimal/,2017-06-27T00:00:00.000,2017-06-30T10:00:00Z,2017-07-02T10:00:00Z
EMSR210,AOI01,optimal,dataOptimal/,2017-07-08T00:00:00.000,2017-07-08T10:00:00Z,2017-07-12T10:00:00Z
EMSR211,AOI01,optimal,dataOptimal/,2017-07-08T00:00:00.000,2017-07-01T10:00:00Z,2017-07-08T10:00:00Z
EMSR213,AOI01,optimal,dataOptimal/,2017-07-14T00:00:00.000,2017-07-21T10:00:00Z,2017-07-26T10:00:00Z
EMSR213,AOI02,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI03,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-20T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI05,optimal,dataOptimal/,2017-07-17T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI06,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI07,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI08,optimal,dataOptimal/,2017-07-19T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI09,optimal,dataOptimal/,2017-07-19T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI10,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI11,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI13,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI14,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-22T10:00:00Z,2017-08-25T10:00:00Z
EMSR213,AOI15,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-09T10:00:00Z,2017-08-13T10:00:00Z
EMSR213,AOI16,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-08T10:00:00Z,2017-08-13T10:00:00Z
EMSR213,AOI17,optimal,dataOptimal/,2017-08-13T00:00:00.000,2017-08-12T10:00:00Z,2017-08-17T10:00:00Z
EMSR213,AOI18,optimal,dataOptimal/,2017-08-30T00:00:00.000,2017-09-17T10:00:00Z,2017-09-19T10:00:00Z
EMSR213,AOI19,optimal,dataOptimal/,2017-08-29T00:00:00.000,2017-08-20T10:00:00Z,2017-08-22T10:00:00Z
EMSR213,AOI20,optimal,dataOptimal/,2017-08-29T00:00:00.000,2017-08-28T10:00:00Z,2017-09-03T10:00:00Z
EMSR213,AOI21,optimal,dataOptimal/,2017-08-29T00:00:00.000,2017-09-07T10:00:00Z,2017-09-09T10:00:00Z
EMSR213,AOI22,optimal,dataOptimal/,2017-08-31T00:00:00.000,2017-08-29T10:00:00Z,2017-09-01T10:00:00Z
EMSR214,AOI01,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-08-01T10:00:00Z,2017-08-03T10:00:00Z
EMSR214,AOI02,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-08-01T10:00:00Z
EMSR214,AOI03,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-08-01T10:00:00Z
EMSR214,AOI05,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-07-30T10:00:00Z
EMSR214,AOI06,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-25T10:00:00Z,2017-07-27T10:00:00Z
EMSR216,AOI01,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-03T10:00:00Z,2017-08-05T10:00:00Z
EMSR217,AOI01,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-08-12T10:00:00Z
EMSR217,AOI02,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-08-12T10:00:00Z
EMSR217,AOI03,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-08-12T10:00:00Z
EMSR217,AOI04,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-06T10:00:00Z,2017-08-17T10:00:00Z
EMSR218,AOI01,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-22T10:00:00Z,2017-08-29T10:00:00Z
EMSR219,AOI01,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-03T10:00:00Z,2017-08-09T10:00:00Z
EMSR220,AOI01,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-03T10:00:00Z,2017-08-09T10:00:00Z
EMSR220,AOI02,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-03T10:00:00Z,2017-08-09T10:00:00Z
EMSR221,AOI01,optimal,dataOptimal/,2017-08-15T00:00:00.000,2017-08-13T10:00:00Z,2017-08-19T10:00:00Z
EMSR227,AOI01,optimal,dataOptimal/,2017-08-22T00:00:00.000,2017-08-22T10:00:00Z,2017-09-03T10:00:00Z
EMSR230,AOI01,optimal,dataOptimal/,2017-08-09T00:00:00.000,2017-08-09T10:00:00Z,2017-08-19T10:00:00Z
EMSR237,AOI01,optimal,dataOptimal/,2017-09-10T00:00:00.000,2017-09-10T10:00:00Z,2017-09-20T10:00:00Z
