EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR545,AOI01,subOptimal_smoke,dataSuboptimal/smoke/,2021-09-08T22:30:00.000,2021-09-08T22:30:00Z,2021-10-08T22:30:00Z
EMSR547,AOI01,optimal,dataOptimal/,2021-09-23T13:00:00.000,2021-09-23T13:00:00Z,2021-10-23T13:00:00Z
EMSR549,AOI01,subOptimal_FEP,dataSuboptimal/FEP/,2021-10-25T00:00:00.000,2021-10-25T00:00:00Z,2021-11-24T00:00:00Z
EMSR560,AOI01,optimal,dataOptimal/,2022-01-21T15:00:00.000,2022-01-21T15:00:00Z,2022-02-20T15:00:00Z
EMSR571,AOI01,optimal,dataOptimal/,2022-03-25T20:00:00.000,2022-04-04T20:00:00Z,2022-05-14T20:00:00Z
EMSR571,AOI01,subOptimal_smoke,dataSuboptimal/smoke/,2022-03-25T20:00:00.000,2022-03-25T20:00:00Z,2022-04-24T20:00:00Z
EMSR571,AOI02,optimal,dataOptimal/,2022-04-10T20:00:00.000,2022-04-15T20:00:00Z,2022-05-15T20:00:00Z
EMSR571,AOI02,subOptimal_smoke,dataSuboptimal/smoke/,2022-03-25T20:00:00.000,2022-03-25T20:00:00Z,2022-04-24T20:00:00Z
EMSR573,AOI01,optimal,dataOptimal/,2022-05-12T10:30:00.000,2022-05-12T10:30:00Z,2022-06-11T10:30:00Z
EMSR576,AOI01,optimal,dataOptimal/,2022-06-04T13:00:00.000,2022-06-04T13:00:00Z,2022-07-04T13:00:00Z
EMSR578,AOI01,optimal,dataOptimal/,2022-06-16T13:00:00.000,2022-06-21T13:00:00Z,2022-07-16T13:00:00Z
EMSR578,AOI01,subOptimal_smoke,dataSuboptimal/smoke/,2022-06-16T13:00:00.000,2022-06-16T13:00:00Z,2022-07-16T13:00:00Z
EMSR578,AOI02,optimal,dataOptimal/,2022-06-16T13:00:00.000,2022-06-21T13:00:00Z,2022-07-16T13:00:00Z
EMSR578,AOI02,subOptimal_smoke,dataSuboptimal/smoke/,2022-06-16T13:00:00.000,2022-06-16T13:00:00Z,2022-07-16T13:00:00Z
EMSR579,AOI01,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR579,AOI02,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR579,AOI04,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR579,AOI05,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR579,AOI06,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR579,AOI07,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR579,AOI08,optimal,dataOptimal/,2022-06-16T00:00:00.000,2022-06-16T00:00:00Z,2022-07-16T00:00:00Z
EMSR580,AOI01,optimal,dataOptimal/,2022-06-15T22:00:00.000,2022-06-15T22:00:00Z,2022-07-15T22:00:00Z
EMSR581,AOI01,optimal,dataOptimal/,2022-06-16T15:00:00.000,2022-06-16T15:00:00Z,2022-07-16T15:00:00Z
EMSR582,AOI01,optimal,dataOptimal/,2022-06-22T00:00:00.000,2022-06-22T00:00:00Z,2022-10-30T00:00:00Z
EMSR582,AOI02,optimal,dataOptimal/,2022-06-18T00:00:00.000,2022-06-18T00:00:00Z,2022-07-18T00:00:00Z
EMSR583,AOI01,optimal,dataOptimal/,2022-06-20T15:00:00.000,2022-06-20T15:00:00Z,2022-07-20T15:00:00Z
EMSR587,AOI01,optimal,dataOptimal/,2022-07-03T13:00:00.000,2022-07-03T13:00:00Z,2022-08-02T13:00:00Z
EMSR588,AOI01,optimal,dataOptimal/,2022-07-04T10:00:00.000,2022-07-04T10:00:00Z,2022-08-03T10:00:00Z
EMSR589,AOI01,optimal,dataOptimal/,2022-07-07T17:00:00.000,2022-07-07T17:00:00Z,2022-08-06T17:00:00Z
EMSR590,AOI01,optimal,dataOptimal/,2022-07-11T16:00:00.000,2022-07-11T16:00:00Z,2022-08-10T16:00:00Z
EMSR591,AOI01,optimal,dataOptimal/,2022-07-13T10:00:00.000,2022-07-13T10:00:00Z,2022-08-12T10:00:00Z
EMSR592,AOI01,optimal,dataOptimal/,2022-07-12T14:00:00.000,2022-07-12T14:00:00Z,2022-08-11T14:00:00Z
